,Title,Price,Rating
0,"Samsung Galaxy A15
Dual SIM Light Blue …","7,249",4.4
1,"Samsung Galaxy S23
Ultra 5G Dual SIM P…","40,425",4.5
2,"Samsung Galaxy A55
Dual SIM Awesome I…","19,830",4.5
3,"Samsung Galaxy S23
FE Dual Sim Purple …","25,250",4.4
4,"Samsung Galaxy A15
Dual SIM Blue/Black…","6,949",4.4
5,"Samsung Galaxy A15
Dual Sim Blue Black …","8,149",4.3
6,"Samsung Galaxy S24
Ultra Dual SIM Titani…","46,650",4.3
7,"Samsung Galaxy A25
Dual Sim Light Blue …","11,127",4.3
8,"Samsung Galaxy A54
Dual Sim Awesome …","16,212",4.3
9,"Samsung Galaxy A55
Dual SIM Awesome I…","19,488",4.5
10,"Samsung Galaxy A15
Dual Sim Blue Black …","6,349",4.4
11,"Samsung Galaxy
A05s Dual SIM Light…","5,858",4.5
12,"Samsung Galaxy S23
Ultra 5G Dual SIM G…","40,450",4.5
13,"Samsung Galaxy S24
Ultra Dual SIM Titani…","46,399",4.6
14,"Samsung Galaxy S24
Dual SIM Cobalt Viol…","37,550",4.3
15,"Samsung Galaxy A55
Dual SIM Awesome …","18,500",4.3
16,"Samsung Galaxy A34
Dual Sim Awesome …","11,799",4.4
17,"Samsung Galaxy A15
Dual Sim Light Blue …","6,349",4.4
18,"Samsung Galaxy A32
Dual SIM Awesome …","9,260",4.5
19,"Samsung Galaxy A34
Dual Sim Awesome …","13,333",4.4
20,"Samsung Galaxy A35
Dual SIM Awesome …","14,007",4.4
21,"Samsung Galaxy
A04s Dual SIM Blac…","4,700",4.5
22,"Samsung Galaxy A35
Dual SIM Awesome …","14,206",4.5
23,"Samsung Galaxy M52
Dual SIM Blue 8GB …","15,000",4.2
24,"Samsung Galaxy
A05s Dual SIM Light…","6,149",4.3
25,"Samsung Galaxy A35
Dual SIM Awesome …","13,039",4.4
26,"Samsung Galaxy S23
FE Dual Sim Graphit…","25,237",4.6
27,"Samsung Galaxy S23
FE Dual Sim Mint 8G…","25,237",4.3
28,"Samsung Galaxy S24
Ultra Dual SIM Titani…","46,270",4.5
29,"Samsung Galaxy A15
Dual Sim Light Blue …","8,199",4.4
30,"Samsung Galaxy
A05s Dual SIM Blac…","6,099",4.2
